t,x,y,z,ex,ey,ez,eox,eoy,eoz,force_on,wall_contact,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.001,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.002,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.003,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.004,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.005,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.006,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.007,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.008,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
0.009000000000000001,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.22183385089383,0.0,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17
