t,x,y,z,ex,ey,ez,eox,eoy,eoz,tau1,tau2,tau3,tau4,tau5,tau6,tau7,ax,ay,az
0.0,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.897019694909139e-47,-25.22183385089383,-1.897019694909139e-47,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,0.0,0.0,0.0
0.001,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-3.760292534571713e-47,-25.22183385089383,-3.7602925857152184e-47,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-1.2697219138445415e-100,2.5666333866144376e-102,-3.9049451107476885e-101
0.002,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-5.590433477497375e-47,-25.22183385089383,-5.59043368114011e-47,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-1.1289092361769454e-99,2.2820018699645843e-101,-3.4718850914591505e-100
0.003,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-7.388046273102355e-47,-25.22183385089383,-7.388046779897952e-47,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-4.461112260151815e-99,9.01782628904124e-101,-1.371985327361634e-99
0.004,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-9.15372366604625e-47,-25.22183385089383,-9.153724675048587e-47,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-1.2242806284449382e-98,2.474807550168442e-100,-3.765193417037784e-99
0.005,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.0888047596843637e-46,-25.22183385089383,-1.0888049354625537e-46,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-2.7215729113987334e-98,5.501513301524571e-100,-8.37001593194837e-99
0.006,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.2591589398818398e-46,-25.22183385089383,-1.2591592198606398e-46,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-5.2704613507181086e-98,1.0653996839671913e-99,-1.6208952219196786e-98
0.007,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.4264909991467538e-46,-25.22183385089383,-1.4264914172292402e-46,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-9.257948553681196e-98,1.8714594807539883e-99,-2.8472202927855687e-98
0.008,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.5908560070299794e-46,-25.22183385089383,-1.590856601616252e-46,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-1.5121970502181008e-97,3.0568616576603305e-99,-4.650661088020737e-98
0.009000000000000001,0.5544994780317353,-6.5943841295818954e-34,0.6245024294875894,0.0,0.0,0.0,0.0,0.0,0.0,-1.7523080293213446e-46,-25.22183385089383,-1.752308843226646e-46,18.530178131241968,0.7411607943030994,1.6503037974835788,1.1830630981331404e-17,-2.334796767684999e-97,4.719741485624645e-99,-7.18051157895836e-98
